iter	Passed	Remaining
371	618	1044
372	620	1042
373	621	1040
374	622	1037
375	623	1035
376	625	1033
377	626	1031
378	628	1029
379	629	1026
380	630	1024
381	632	1022
382	633	1020
383	634	1018
384	636	1016
385	637	1013
386	638	1011
387	639	1009
388	641	1007
389	642	1005
390	643	1002
391	644	1000
392	646	998
393	647	996
394	648	993
395	650	991
396	651	989
397	652	986
398	653	984
399	655	982
400	656	980
401	657	978
402	658	975
403	660	973
404	661	971
405	662	969
406	663	967
407	664	964
408	666	962
409	667	960
410	668	958
411	670	956
412	671	954
413	672	952
414	673	949
415	674	947
416	676	945
417	677	943
418	678	941
419	679	939
420	681	936
421	682	934
422	683	933
423	685	930
424	686	928
425	687	926
426	688	924
427	690	922
428	691	920
429	693	918
430	694	916
431	695	914
432	697	912
433	698	911
434	700	909
435	701	907
436	702	905
437	704	903
438	705	902
439	707	900
440	708	898
441	710	896
442	711	894
443	713	893
444	715	891
445	716	889
446	717	887
447	719	886
448	721	884
449	722	883
450	724	881
451	725	879
452	728	879
453	729	877
454	731	876
455	733	874
456	734	873
457	736	871
458	738	869
459	739	868
460	741	866
461	743	865
462	744	864
463	746	862
464	747	860
465	749	859
466	751	857
467	752	855
468	754	853
469	755	852
470	757	851
471	759	849
472	760	847
473	762	845
474	764	844
475	765	842
476	767	841
477	768	839
478	770	838
479	772	836
480	774	835
481	775	833
482	777	832
483	779	830
484	780	828
485	782	827
486	783	825
487	785	824
488	787	822
489	788	820
490	789	818
491	791	817
492	793	815
493	794	813
494	796	812
495	797	810
496	798	808
497	801	807
498	803	806
499	804	804
500	806	803
501	808	801
502	810	800
503	811	798
504	812	796
505	814	794
506	816	793
507	817	791
508	819	790
509	821	788
510	822	787
511	823	785
512	825	783
513	826	781
514	828	779
515	830	778
516	832	777
517	833	775
518	835	773
519	836	772
520	838	770
521	840	769
522	841	767
523	842	765
524	843	763
525	845	761
526	846	760
527	848	758
528	849	756
529	850	754
530	852	752
531	853	750
532	854	748
533	856	747
534	857	745
535	858	743
536	860	742
537	861	740
538	863	738
539	864	736
540	866	735
541	868	733
542	869	732
543	871	730
544	872	728
545	875	727
546	876	726
547	878	724
548	879	722
549	881	721
550	883	719
551	884	718
552	886	716
553	887	714
554	890	713
555	891	712
556	893	710
557	895	709
558	897	707
559	899	706
560	901	705
561	903	704
562	905	702
563	906	701
564	908	699
565	914	701
566	916	699
567	917	698
568	919	696
569	920	694
570	922	693
571	924	691
572	925	689
573	926	687
574	928	686
575	929	684
576	930	682
577	932	680
578	934	679
579	935	677
580	937	675
581	938	674
582	939	672
583	941	670
584	942	668
585	943	666
586	944	664
587	945	662
588	946	660
589	948	659
590	950	657
591	951	655
592	953	654
593	954	652
594	955	650
595	957	648
596	958	646
597	959	645
598	961	643
599	963	642
600	965	640
601	966	639
602	968	637
603	969	635
604	970	633
605	972	632
606	973	630
607	975	628
608	977	627
609	978	625
610	979	623
611	981	621
612	982	620
613	983	618
614	985	616
615	986	614
616	987	613
617	988	611
618	990	609
619	992	608
620	993	606
621	994	604
622	995	602
623	997	600
624	998	598
625	999	597
626	1000	595
627	1001	593
628	1002	591
629	1003	589
630	1005	587
631	1006	586
632	1007	584
633	1008	582
634	1010	580
635	1011	578
636	1012	576
637	1013	575
638	1014	573
639	1015	571
640	1016	569
641	1017	567
642	1019	565
643	1020	563
644	1021	562
645	1022	560
646	1023	558
647	1025	556
648	1026	555
649	1027	553
650	1028	551
651	1029	549
652	1030	547
653	1032	546
654	1033	544
655	1034	542
656	1035	540
657	1036	538
658	1038	537
659	1039	535
660	1040	533
661	1041	531
662	1043	530
663	1044	528
664	1045	526
665	1046	524
666	1047	523
667	1048	521
668	1049	519
669	1051	517
670	1052	516
671	1053	514
672	1054	512
673	1056	510
674	1057	509
675	1058	507
676	1059	505
677	1060	503
678	1061	501
679	1062	500
680	1063	498
681	1065	496
682	1067	495
683	1068	493
684	1069	491
685	1070	490
686	1071	488
687	1073	486
688	1074	484
689	1075	483
690	1076	481
691	1077	479
692	1078	477
693	1080	476
694	1081	474
695	1083	473
696	1084	471
697	1085	469
698	1086	467
699	1087	466
700	1088	464
701	1089	462
702	1091	460
703	1092	459
704	1093	457
705	1094	455
706	1096	454
707	1098	452
708	1099	451
709	1100	449
710	1102	448
711	1104	446
712	1105	444
713	1106	443
714	1107	441
715	1108	439
716	1110	438
717	1111	436
718	1112	434
719	1113	433
720	1114	431
721	1116	429
722	1117	428
723	1118	426
724	1119	424
725	1120	422
726	1121	421
727	1122	419
728	1124	418
729	1125	416
730	1127	414
731	1128	413
732	1129	411
733	1130	409
734	1131	408
735	1132	406
736	1133	404
737	1135	402
738	1136	401
739	1137	399
740	1138	397
741	1139	396
742	1140	394
743	1142	392
744	1143	391
745	1144	389
746	1145	387
747	1146	386
748	1147	384
749	1148	382
750	1149	381
751	1151	379
752	1152	377
753	1153	376
754	1154	374
755	1155	373
756	1156	371
757	1158	369
758	1159	368
759	1160	366
760	1161	364
761	1162	363
762	1163	361
763	1165	359
764	1166	358
765	1167	356
766	1168	354
767	1169	353
768	1170	351
769	1171	350
770	1173	348
771	1174	346
772	1175	345
773	1176	343
774	1177	341
775	1178	340
776	1179	338
777	1180	336
778	1181	335
779	1183	333
780	1184	332
781	1185	330
782	1187	328
783	1188	327
784	1189	325
785	1190	324
786	1191	322
787	1192	320
788	1193	319
789	1194	317
790	1195	315
791	1197	314
792	1198	312
793	1199	311
794	1200	309
795	1202	308
796	1203	306
797	1204	304
798	1205	303
799	1206	301
800	1207	300
801	1208	298
802	1209	296
803	1211	295
804	1212	293
805	1213	292
806	1214	290
807	1215	288
808	1217	287
809	1218	285
810	1219	284
811	1220	282
812	1221	280
813	1222	279
814	1223	277
815	1224	276
816	1226	274
817	1227	273
818	1228	271
819	1229	269
820	1230	268
821	1232	266
822	1233	265
823	1234	263
824	1235	262
825	1236	260
826	1237	258
827	1239	257
828	1240	255
829	1241	254
830	1242	252
831	1243	251
832	1244	249
833	1246	248
834	1247	246
835	1248	244
836	1249	243
837	1250	241
838	1252	240
839	1253	238
840	1254	237
841	1255	235
842	1256	234
843	1257	232
844	1259	230
845	1260	229
846	1261	227
847	1262	226
848	1263	224
849	1264	223
850	1266	221
851	1267	220
852	1268	218
853	1269	217
854	1270	215
855	1271	213
856	1272	212
857	1274	210
858	1276	209
859	1277	207
860	1278	206
861	1279	204
862	1280	203
863	1282	201
864	1283	200
865	1284	198
866	1285	197
867	1286	195
868	1288	194
869	1289	192
870	1290	191
871	1291	189
872	1293	188
873	1294	186
874	1295	185
875	1296	183
876	1297	182
877	1298	180
878	1300	178
879	1301	177
880	1302	175
881	1304	174
882	1305	172
883	1306	171
884	1307	169
885	1308	168
886	1310	166
887	1311	165
888	1312	163
889	1313	162
890	1314	160
891	1315	159
892	1317	157
893	1318	156
894	1320	154
895	1321	153
896	1323	151
897	1324	150
898	1326	149
899	1328	147
900	1329	146
901	1330	144
902	1332	143
903	1334	141
904	1335	140
905	1336	138
906	1337	137
907	1339	135
908	1340	134
909	1341	132
910	1343	131
911	1345	129
912	1346	128
913	1348	126
914	1350	125
915	1352	124
916	1354	122
917	1355	121
918	1356	119
919	1358	118
920	1359	116
921	1361	115
922	1363	113
923	1365	112
924	1366	110
925	1368	109
926	1369	107
927	1371	106
928	1372	104
929	1374	103
930	1375	101
931	1377	100
932	1379	99
933	1381	97
934	1382	96
935	1384	94
936	1385	93
937	1386	91
938	1388	90
939	1389	88
940	1391	87
941	1392	85
942	1394	84
943	1396	82
944	1397	81
945	1398	79
946	1399	78
947	1401	76
948	1402	75
949	1404	73
950	1405	72
951	1408	71
952	1410	69
953	1412	68
954	1413	66
955	1414	65
956	1415	63
957	1417	62
958	1418	60
959	1420	59
960	1421	57
961	1422	56
962	1424	54
963	1425	53
964	1426	51
965	1428	50
966	1429	48
967	1430	47
968	1432	45
969	1433	44
970	1435	42
971	1437	41
972	1439	39
973	1440	38
974	1441	36
975	1443	35
976	1444	34
977	1446	32
978	1447	31
979	1449	29
980	1450	28
981	1452	26
982	1453	25
983	1455	23
984	1456	22
985	1458	20
986	1459	19
987	1460	17
988	1462	16
989	1463	14
990	1464	13
991	1466	11
992	1468	10
993	1470	8
994	1471	7
995	1473	5
996	1474	4
997	1475	2
998	1477	1
999	1478	0
